Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0402,2,10uF,C15525
"C10, C11, C12, C14, C3, C4, C5, C6, C7, C8, C9",C_0402,11,100nF,C1525
"C13, C15, C16, C17",C_0402,4,4.7uF,C23733
"C18, C19",C_0402,2,15pF,C1548
D1,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,1,WS2812B,C5349954
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
L1,AOTAB201610S3R3101T,1,AOTA-B201610S3R3-101-T,
"R1, R2",R_0402,2,5.1kΩ,C25905
"R3, R4",R_0402,2,27Ω,C25771
R5,R_0402,1,33Ω,C25105
"R6, R7, R8",R_0402,3,1kΩ,C11702
"SW1, SW2",SW_TS-1088-AR02016,2,SW_Push,
U1,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2354A-QFN60,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3,C20625731
