Designator,Mid X,Mid Y,Rotation,Layer
C1,94.25,-92.5,270.0,top
C10,82.389,-102.989,180.0,top
C11,87.089,-100.289,90.0,top
C12,88.189,-111.289,270.0,top
C13,82.389,-104.989,180.0,top
C14,93.4,-105.1,0.0,top
C15,90.838709,-100.284088,90.0,top
C16,95.289,-101.089,90.0,top
C17,93.4,-101.7,180.0,top
C18,90.2,-112.7,0.0,top
C19,86.9,-114.1,270.0,top
C2,81.8,-100.3,270.0,top
C3,89.889,-100.289,90.0,top
C4,93.389,-102.789,0.0,top
C5,93.389,-103.589,0.0,top
C6,93.389,-105.989,0.0,top
C7,90.689,-111.289,270.0,top
C8,86.389,-111.289,270.0,top
C9,82.389,-106.989,180.0,top
D1,82.5,-98.1,180.0,top
J1,88.0,-90.94,180.0,top
L1,94.9,-98.1,180.0,top
R1,86.1,-96.7,180.0,top
R2,89.9,-96.7,0.0,top
R3,88.0,-99.9,90.0,top
R4,89.0,-99.9,90.0,top
R5,91.838709,-100.284088,270.0,top
R6,88.4,-112.7,180.0,top
R7,80.2,-103.0,0.0,top
R8,94.8,-105.6,270.0,top
SW1,82.0,-113.9,180.0,top
U1,87.889,-105.789,0.0,top
U2,82.55,-99.2,0.0,bottom
X1,89.3,-114.7,0.0,top
